Vulnerable Library,CVE Severity,Products Affected,Enterprises Exposed
npm 2.15.1,High,1,130028
qs 6.0.4,High,1,130028
qs 6.2.3,High,1,130028
semver 5.1.1,High,1,130028
shelljs 0.2.6,High,1,130028
solr-core 8.11.2,High,1,130028
tar 4.4.19,High,1,130028
underscore 1.13.1,High,1,130028
minimatch 5.1.0,High,3,123278
lodash 4.17.15,High,3,123264
rollup 2.79.2,High,2,123126
zookeeper 3.8.4,High,3,121857
glob 10.4.5,High,4,117863
spring-core 5.3.39,High,2,117023
composer/composer 1.0.0-alpha8,High,1,115807
composer/composer 1.8.5,High,1,115807
composer/composer 2.2.17,High,1,115807
guzzlehttp/guzzle 6.3.3,High,1,115807
laminas/laminas-diactoros 1.8.6,High,1,115807
magento/product-community-edition 2.3.1,High,1,115807
phpseclib/phpseclib 0.3.10,High,1,115807
phpseclib/phpseclib 2.0.15,High,1,115807
symfony/process 2.8.x-dev,High,1,115807
symfony/process v2.8.52,High,1,115807
symfony/process v4.1.11,High,1,115807
grpc-netty-shaded 1.72.0,High,1,115545
libthrift 0.9.1,High,1,115545
netty 3.10.5.Final,High,1,115545
plexus-utils 1.5.6,High,1,115545
spring-boot-starter-actuator 2.7.18,High,1,115545
commons-io 2.4,High,2,115410
node-forge 1.3.3,High,4,112819
glob 11.0.3,High,1,111625
hawk 0.13.1,High,1,111625
hoek 0.8.5,High,1,111625
lodash 2.4.1,High,1,111625
parse-link-header 0.1.0,High,1,111625
