VendorName,Product,ProductCategory,IsOpenSource,GitHubLink
YuMe,YuMe,Video Advertising Networks,No,
Sizmek,PointRoll,Video Advertising Networks,No,
Smartclip,Smartclip,Video Advertising Networks,No,
LKQD Technologies Inc,LKQD,Video Advertising Networks,No,
Onescreen,Onescreen,Video Advertising Networks,No,
AniView,Aniview,Video Advertising Networks,No,
SlimCut Media,SlimCut Media,Video Advertising Networks,No,
IRIS.TV,IRISTV,Video Advertising Networks,No,
News Corporation,Unruly,Video Advertising Networks,No,
Optimatic,Optimatic,Video Advertising Networks,No,
Coull,Coull,Video Advertising Networks,No,
Viralize Srl,Viralize,Video Advertising Networks,No,
AdVideum,Advideum,Video Advertising Networks,No,
Exponential Interactive inc,AdoTube,Video Advertising Networks,No,
Cedato Technologies Ltd.,Cedato,Video Advertising Networks,No,
Giant Media Corp,Giant Media,Video Advertising Networks,No,
Idomoo,Idomoo,Video Advertising Networks,No,
Selectable Media,Selectable Media,Video Advertising Networks,No,
Genesis Media Llc,Altitude ARENA,Video Advertising Networks,No,
Verizon Media,ONE by AOL Video,Video Advertising Networks,No,
VUble,VUble,Video Advertising Networks,No,
ADman Media,ADman Media,Video Advertising Networks,No,
Teads France,eBuzzing,Video Advertising Networks,No,
Discovery Channel,RealGravity,Video Advertising Networks,No,
SpringBoard Video,Springboard Video,Video Advertising Networks,No,
VideoBloom,VideoBloom,Video Advertising Networks,No,
Microsoft,Office 365 Business Email,Email Software,No,
Mimecast,Mimecast,Email Software,No,
Rackspace Inc.,Rackspace Mailgun,Email Software,No,
Mandrill,MailChimp Mandrill,Email Software,No,
Rocket Science Group,Mandrill,Email Software,No,
Salesforce.com,Salesforce SPF,Email Software,No,
GoDaddy,GoDaddy Email & Office,Email Software,No,
FireEye Inc.,FireEye Email Security,Email Software,No,
OVH,OVH Email Solutions,Email Software,No,
Tibco,Tibco Enterprise Message Service,Email Software,No,
Hostgator,Email Solutions,Email Software,No,
Postmark,Postmark,Email Software,No,
Responsys Inc.,Responsys,Email Software,No,
POSTFIX,Mail Server,Email Software,Yes,https://github.com/vdukhovni/postfix
Rackspace Inc.,Rackspace Email Hosting,Email Software,No,
SMTP2GO,SMTP2GO,Email Software,No,
MailChannels,MailChannels,Email Software,No,
Zoho Corporation,Zoho Mail,Email Software,No,
Telligent,Telligent Zimbra,Email Software,No,
eNom,enom Custom Email,Email Software,No,
Register.com,Register.com Business Email Solutions,Email Software,No,
IONOS,Email Solutions,Email Software,No,
Tucows Inc,OpenSRS Hosted Email,Email Software,No,
Sparkpost,SparkPost,Email Software,No,
PhishMe Inc,PhishMe,Email Software,No,
Network Solutions,Network Solutions Professional Email,Email Software,No,
StrongMail Systems Inc.,StrongView,Email Software,No,
SocketLabs Inc.,SocketLabs,Email Software,No,
Locaweb,Locaweb E-Mail,Email Software,No,
Microsoft,Microsoft Exchange Online Protection,Email Software,No,
SMTP.com,SMTPcom,Email Software,No,
Sophos,Reflexion,Email Software,No,
j2 Global,FuseMail,Email Software,No,
Yahoo!,Yahoo Mail for business,Email Software,No,
Cisco Systems Inc,Cisco Email Security,Email Software,No,
Symantec,Symantec Messaging Gateway,Email Software,No,
Name.com Inc.,Name.com Email,Email Software,No,
Symantec,MessageLabs,Email Software,No,
McAfee Inc.,SaaS Email Prt,Email Software,No,
Symantec,Symantec Desktop Email Encryption,Email Software,No,
Infomaniak Network SA,Infomaniak Mail Hosting,Email Software,No,
Benchmark Email,Benchmark Email,Email Software,No,
Powweb,PowWeb Advanced Email Solutions,Email Software,No,
McAfee Inc.,Email Gateway,Email Software,No,
Fortinet,FortiMail,Email Software,No,
Bananatag Systems Inc.,Bananatag,Email Software,No,
Microsoft,Microsoft FrontBridge,Email Software,No,
IceWarp,Mail Server,Email Software,No,
Cirrus Insight,Cirrus Insight,Email Software,No,
250ok Inc.,250ok,Email Software,No,
123-reg,123 Reg Email Hosting,Email Software,No,
easyDNS,easyDNS Email Hosting,Email Software,No,
Scannet A/s,ScanNet Mailhotel,Email Software,No,
BlueTie,BlueTie Email,Email Software,No,
Quest Software,Quest MessageStats,Email Software,No,
